ID	GeneID	geneSymbol	chr	strand	IncLevel1	IncLevel2	PValue	event
3036	ENSG00000144224.16_1	UBXN4	chr2	+	0.528,0.807,0.0,0.707,0.923,0.0,NA,0.165,0.486,0.796,0.905,0.12,0.505,NA,1.0,NA,1.0,0.0,1.0,1.0,0.444,0.809,0.554,0.592	0.043,0.589,0.984,0.532,0.185,1.0,1.0,0.3,0.0,0.782,1.0,NA,0.142,0.0,NA,0.0,1.0,NA,0.789,NA	1	MXE
3038	ENSG00000168056.15_2	LTBP3	chr11	-	1.0,1.0,0.461,1.0,NA,0.0,NA,0.021,0.0,1.0,NA,NA,1.0,0.064,0.835,0.0,1.0,NA,0.0,0.929,NA,NA,1.0,1.0	0.992,1.0,NA,0.0,0.828,1.0,1.0,0.126,0.0,1.0,NA,NA,0.0,1.0,NA,1.0,1.0,NA,1.0,NA	1	MXE
3040	ENSG00000137821.11_2	LRRC49	chr15	+	0.0,NA,NA,1.0,NA,1.0,NA,NA,0.259,0.0,NA,NA,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NA,1.0,NA,0.68,NA	1.0,1.0,0.941,1.0,NA,1.0,1.0,NA,NA,0.191,0.0,NA,NA,0.587,NA,0.544,NA,0.0,0.0,NA	1	MXE
3041	ENSG00000242247.10_2	ARFGAP3	chr22	-	NA,NA,NA,NA,0.0,NA,NA,0.0,0.0,1.0,NA,NA,NA,NA,NA,0.369,NA,NA,NA,NA,0.0,0.0,0.475,NA	0.432,0.948,NA,0.485,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
3042	ENSG00000136628.17_1	EPRS	chr1	-	0.992,1.0,1.0,0.0,0.685,NA,NA,0.0,1.0,NA,1.0,NA,0.966,0.762,NA,NA,NA,1.0,NA,1.0,NA,NA,0.629,NA	0.32,NA,0.919,NA,NA,NA,NA,1.0,NA,0.911,0.248,NA,1.0,0.0,NA,0.056,0.0,NA,1.0,NA	1	MXE
3043	ENSG00000054356.13_2	PTPRN	chr2	-	0.0,0.0,0.186,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,NA,0.0,0.0,NA,0.0,NA	1	MXE
3044	ENSG00000116754.13_1	SRSF11	chr1	+	0.0,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,NA,0.0,1.0,0.0,0.0,0.103,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,0.0,NA,NA,NA,0.0,NA,0.0,NA	1	MXE
3045	ENSG00000147044.20_2	CASK	chrX	-	1.0,NA,1.0,NA,1.0,NA,NA,0.0,NA,0.0,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,NA	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.459,NA,0.68,NA,1.0,NA,NA	1	MXE
3046	ENSG00000171914.15_2	TLN2	chr15	+	0.0,0.327,NA,0.434,0.791,1.0,NA,0.32,0.0,0.0,NA,NA,0.0,0.008,0.0,0.0,NA,0.314,0.0,0.0,0.196,0.253,0.351,0.0	0.169,1.0,0.147,0.772,0.199,1.0,1.0,0.0,0.314,0.46,0.006,NA,0.495,1.0,NA,1.0,0.0,0.0,0.0,NA	1	MXE
3047	ENSG00000109323.8_2	MANBA	chr4	-	0.0,NA,1.0,0.518,NA,0.0,NA,1.0,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,1.0,NA,NA,1.0,1.0,NA,NA	1.0,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,0.206,NA,1.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
3048	ENSG00000165995.18_1	CACNB2	chr10	+	NA,0.571,0.0,0.037,0.921,0.0,NA,0.718,0.181,0.913,NA,NA,NA,1.0,0.0,1.0,0.0,NA,NA,NA,1.0,1.0,0.24,0.0	0.088,0.932,0.084,0.524,0.155,0.0,0.0,0.0,0.188,0.116,0.048,NA,NA,0.76,0.0,0.875,0.307,NA,NA,NA	1	MXE
3049	ENSG00000165995.18_1	CACNB2	chr10	+	NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,0.0,NA,1.0,1.0,1.0	0.84,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,0.991,0.768,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	MXE
3050	ENSG00000165995.18_1	CACNB2	chr10	+	NA,NA,1.0,1.0,1.0,0.817,NA,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	MXE
3051	ENSG00000165995.18_1	CACNB2	chr10	+	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3056	ENSG00000148396.18_1	SEC16A	chr9	-	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA	1.0,0.137,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
3059	ENSG00000168872.16_2	DDX19A	chr16	+	1.0,NA,0.0,1.0,1.0,0.0,NA,1.0,0.961,NA,NA,NA,1.0,NA,0.953,1.0,0.0,1.0,0.86,1.0,NA,1.0,1.0,0.0	0.0,NA,0.0,NA,0.56,1.0,1.0,1.0,1.0,0.756,1.0,NA,NA,0.648,NA,0.647,0.985,NA,NA,NA	1	MXE
3060	ENSG00000152894.14_2	PTPRK	chr6	-	0.0,NA,1.0,1.0,1.0,1.0,NA,1.0,NA,0.179,1.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,1.0	NA,1.0,1.0,NA,NA,NA,NA,NA,NA,0.06,0.666,NA,0.913,0.0,NA,0.0,1.0,NA,NA,NA	1	MXE
3062	ENSG00000161960.14_2	EIF4A1	chr17	+	0.0,0.0,0.67,0.287,0.758,0.714,1.0,0.937,1.0,0.332,0.851,1.0,0.0,0.499,0.0,1.0,NA,NA,0.0,1.0,0.033,0.677,0.262,0.826	0.435,0.0,0.807,0.939,1.0,0.0,0.0,1.0,0.596,0.796,0.484,0.0,1.0,NA,NA,NA,0.136,NA,0.0,NA	1	MXE
3063	ENSG00000145979.17_2	TBC1D7	chr6	-	0.0,NA,1.0,1.0,NA,NA,NA,0.741,NA,0.562,1.0,NA,0.0,NA,1.0,0.0,NA,NA,1.0,NA,NA,NA,1.0,NA	0.0,NA,1.0,1.0,0.0,1.0,1.0,1.0,0.038,1.0,0.02,NA,1.0,0.471,NA,0.373,NA,NA,NA,NA	1	MXE
3064	ENSG00000266173.5_2	STRADA	chr17	-	NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.171,NA,NA,NA,0.034,NA,NA,NA,NA,0.0	NA,0.0,NA,0.0,0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3068	ENSG00000197548.12_1	ATG7	chr3	+	NA,0.0,1.0,0.175,0.0,0.0,NA,0.0,0.179,NA,0.653,0.0,NA,0.881,0.645,0.396,0.0,0.01,0.663,NA,0.0,NA,0.0,0.0	0.141,0.964,0.0,0.909,0.0,NA,NA,0.0,NA,0.0,0.055,NA,0.0,0.673,NA,0.621,NA,NA,NA,NA	1	MXE
3072	ENSG00000145087.12_2	STXBP5L	chr3	+	0.12,0.0,0.27,0.572,0.094,0.0,NA,0.953,0.494,0.367,0.148,0.936,0.121,0.102,0.793,0.669,1.0,0.136,0.846,0.515,0.315,1.0,0.447,0.397	0.555,0.519,0.978,0.945,0.467,0.022,0.011,1.0,0.641,0.752,0.404,NA,0.548,0.898,NA,0.705,0.09,1.0,0.978,NA	1	MXE
3074	ENSG00000079819.17_2	EPB41L2	chr6	-	NA,0.0,0.0,0.0,0.0,0.0,NA,NA,0.07,0.0,0.0,0.0,NA,NA,0.0,NA,0.0,NA,0.0,0.0,NA,NA,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.088,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,NA,NA	1	MXE
3075	ENSG00000079819.17_2	EPB41L2	chr6	-	0.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NA,0.0,1.0,0.0,0.0,0.0	0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
3076	ENSG00000079819.17_2	EPB41L2	chr6	-	NA,NA,0.0,0.33,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.6	0.516,0.0,NA,NA,0.0,0.0,0.0,NA,0.102,NA,NA,NA,1.0,0.0,NA,0.0,0.0,NA,NA,NA	1	MXE
3078	ENSG00000114127.10_2	XRN1	chr3	-	NA,NA,NA,0.0,NA,NA,NA,NA,0.171,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.238,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
3079	ENSG00000114127.10_2	XRN1	chr3	-	NA,NA,NA,0.515,NA,1.0,1.0,NA,0.0,1.0,1.0,NA,NA,1.0,1.0,NA,NA,1.0,1.0,NA,NA,NA,NA,NA	NA,0.711,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,1.0,NA,NA,NA,NA,0.0,NA	1	MXE
3080	ENSG00000114127.10_2	XRN1	chr3	-	NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,1.0,NA,NA,0.0,NA,0.0,0.0	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.557,NA,NA,NA,NA,NA,0.0,NA	1	MXE
3081	ENSG00000166669.13_2	ATF7IP2	chr16	+	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,NA,1.0,1.0,NA,0.0,1.0,NA,NA,1.0,1.0,NA	0.0,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
3082	ENSG00000166669.13_2	ATF7IP2	chr16	+	0.0,NA,0.0,0.0,0.0,NA,NA,1.0,NA,0.0,0.251,0.0,0.0,NA,1.0,NA,NA,1.0,1.0,0.0,NA,1.0,1.0,NA	0.314,0.0,NA,NA,0.813,NA,NA,NA,NA,0.813,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
3083	ENSG00000181019.12_1	NQO1	chr16	-	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,0.0,NA,NA,NA,0.0,NA	0.0,NA,NA,0.433,1.0,NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA,NA,0.414,NA	1	MXE
3084	ENSG00000144524.17_1	COPS7B	chr2	+	0.0,NA,0.756,NA,NA,NA,NA,0.008,NA,NA,NA,NA,0.0,1.0,0.566,NA,NA,NA,0.446,NA,NA,NA,0.0,0.0	0.458,0.0,0.0,0.0,NA,NA,NA,0.0,NA,0.0,0.0,NA,0.0,NA,NA,NA,0.0,NA,NA,NA	1	MXE
3085	ENSG00000110911.14_2	SLC11A2	chr12	-	NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA	0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3086	ENSG00000006740.16_1	ARHGAP44	chr17	+	NA,0.0,0.0,0.239,0.0,NA,NA,0.0,0.083,NA,NA,NA,NA,NA,0.0,0.0,0.0,1.0,NA,0.0,NA,NA,0.0,0.0	0.219,0.8,0.0,NA,0.0,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
3088	ENSG00000063761.15_1	ADCK1	chr14	+	NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA	NA,1.0,NA,0.0,1.0,NA,NA,NA,0.288,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3090	ENSG00000130731.15_2	C16orf13	chr16	-	NA,0.0,0.402,0.072,0.0,NA,0.0,0.144,0.0,0.099,NA,NA,NA,0.0,0.067,NA,NA,0.0,0.055,0.0,NA,NA,0.0,0.0	0.0,0.0,0.0,0.412,0.0,NA,NA,NA,0.0,0.045,0.0,NA,NA,0.267,NA,0.246,0.584,NA,0.0,NA	1	MXE
3102	ENSG00000152942.18_2	RAD17	chr5	+	0.0,0.0,NA,NA,0.0,1.0,NA,1.0,0.811,0.0,0.0,NA,NA,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA	0.0,NA,NA,0.0,0.0,NA,NA,NA,NA,1.0,0.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA	1	MXE
3104	ENSG00000140400.15_2	MAN2C1	chr15	-	1.0,0.0,1.0,1.0,NA,NA,NA,0.0,0.254,0.81,0.0,0.0,1.0,NA,0.754,0.0,NA,0.866,0.643,1.0,NA,NA,0.695,NA	0.0,1.0,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA	1	MXE
3107	ENSG00000100320.22_2	RBFOX2	chr22	-	NA,0.475,NA,1.0,1.0,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0	1.0,NA,1.0,1.0,NA,1.0,1.0,NA,NA,0.955,0.179,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA	1	MXE
3116	ENSG00000138380.17_2	CARF	chr2	+	0.0,NA,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,0.987,0.0,0.0,NA,0.969,NA,NA,NA,0.0,NA	NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0,NA,NA,0.0,NA,0.0,1.0,0.0,NA,NA	1	MXE
3117	ENSG00000138380.17_2	CARF	chr2	+	0.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,0.0,NA,1.0,NA,NA,NA,NA,1.0	1.0,NA,NA,NA,NA,NA,NA,NA,0.73,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
3118	ENSG00000138380.17_2	CARF	chr2	+	1.0,NA,NA,NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,1.0,NA	1.0,NA,NA,0.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,0.0,NA,0.0,NA	1	MXE
3124	ENSG00000100577.18_1	GSTZ1	chr14	+	NA,NA,1.0,NA,1.0,NA,NA,NA,NA,0.749,NA,1.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
3125	ENSG00000058056.8_1	USP13	chr3	+	NA,NA,NA,NA,NA,NA,NA,0.055,NA,1.0,NA,NA,1.0,NA,0.67,NA,NA,NA,0.675,1.0,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3131	ENSG00000228956.8_2	SATB1-AS1	chr3	+	0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
3132	ENSG00000228956.8_2	SATB1-AS1	chr3	+	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3134	ENSG00000228956.8_2	SATB1-AS1	chr3	+	0.026,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,0.022,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
3136	ENSG00000228956.8_2	SATB1-AS1	chr3	+	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
3137	ENSG00000228956.8_2	SATB1-AS1	chr3	+	NA,NA,NA,NA,0.191,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
3140	ENSG00000228956.8_2	SATB1-AS1	chr3	+	NA,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3141	ENSG00000145495.14_2	MARCH6	chr5	+	0.733,1.0,0.557,0.715,0.991,0.133,NA,0.365,0.945,0.893,1.0,NA,0.756,0.973,0.958,1.0,NA,1.0,0.966,0.0,0.991,1.0,0.368,0.369	0.86,0.609,0.727,0.385,0.344,NA,NA,0.0,1.0,0.676,0.956,NA,0.917,0.345,NA,0.271,1.0,NA,0.0,NA	1	MXE
3142	ENSG00000134058.10_2	CDK7	chr5	+	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.0,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA	0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA	1	MXE
3144	ENSG00000134058.10_2	CDK7	chr5	+	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,1.0,NA,0.0,NA,0.0,NA	1.0,NA,NA,0.0,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA	1	MXE
3149	ENSG00000137033.11_1	IL33	chr9	+	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3150	ENSG00000047932.13_2	GOPC	chr6	-	0.0,0.0,NA,0.0,0.366,NA,NA,0.286,0.0,NA,0.0,NA,0.0,0.0,0.983,NA,0.0,NA,0.967,NA,0.0,NA,0.0,0.0	0.0,0.0,0.0,0.0,0.464,0.0,0.0,NA,0.0,0.0,0.41,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,NA	1	MXE
3152	ENSG00000196922.10_2	ZNF252P	chr8	-	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
3156	ENSG00000136267.13_1	DGKB	chr7	-	0.0,0.0,0.0,0.084,0.0,0.0,NA,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.031,0.497,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.15,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA	1	MXE
3158	ENSG00000169241.17_1	SLC50A1	chr1	+	NA,NA,NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,0.0,NA,0.0,NA,NA,NA,NA,1.0,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	1	MXE
3161	ENSG00000088832.15_2	FKBP1A	chr20	-	0.0,0.0,0.0,0.117,0.0,0.109,0.0,0.0,0.063,NA,0.467,NA,0.0,0.698,0.299,0.0,0.25,0.0,0.399,0.205,0.051,NA,0.0,0.184	0.189,0.267,0.0,0.542,0.074,0.0,0.0,NA,0.61,0.139,0.065,NA,0.17,0.0,NA,0.0,0.804,0.0,0.0,NA	1	MXE
3163	ENSG00000130956.13_1	HABP4	chr9	+	0.0,NA,0.0,0.865,NA,NA,NA,1.0,0.213,0.0,NA,0.0,0.0,1.0,0.291,NA,NA,NA,0.176,0.0,1.0,0.0,NA,NA	NA,NA,NA,0.333,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3165	ENSG00000164172.18_2	MOCS2	chr5	-	0.447,0.0,0.0,1.0,0.219,1.0,NA,0.38,0.722,0.317,0.524,NA,0.417,0.388,0.684,NA,0.066,NA,0.606,0.0,1.0,0.0,NA,1.0	0.491,0.934,0.178,0.591,NA,NA,NA,NA,0.236,0.028,0.872,NA,0.909,0.845,NA,0.859,0.0,NA,0.213,NA	1	MXE
3170	ENSG00000104613.11_2	INTS10	chr8	+	1.0,NA,0.028,0.911,0.0,NA,0.0,NA,1.0,0.0,0.0,NA,1.0,1.0,0.021,NA,0.0,NA,0.028,0.0,NA,NA,0.0,NA	NA,0.059,0.0,1.0,0.696,0.0,0.0,0.0,0.239,0.03,0.146,NA,0.026,0.0,0.0,0.0,NA,NA,NA,NA	1	MXE
3184	ENSG00000082458.11_1	DLG3	chrX	+	NA,0.0,NA,0.608,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246,NA	0.082,NA,NA,1.0,0.282,NA,NA,NA,NA,NA,1.0,NA,0.0,1.0,NA,1.0,NA,NA,NA,NA	1	MXE
3185	ENSG00000140471.16_1	LINS1	chr15	-	1.0,NA,NA,0.0,0.0,0.0,NA,0.988,0.317,NA,0.0,NA,1.0,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0	1.0,NA,NA,NA,0.891,1.0,1.0,NA,NA,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
3186	ENSG00000066468.21_2	FGFR2	chr10	-	NA,NA,NA,0.0,1.0,NA,NA,0.406,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.769,NA,NA,NA	NA,0.0,NA,0.643,0.0,NA,NA,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
3189	ENSG00000103021.9_1	CCDC113	chr16	+	NA,NA,NA,0.352,NA,NA,NA,1.0,0.047,NA,NA,NA,NA,1.0,NA,1.0,0.0,NA,NA,NA,NA,NA,0.0,NA	0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
3197	ENSG00000177830.17_2	CHID1	chr11	-	0.703,0.3,NA,0.806,1.0,0.0,NA,1.0,NA,0.0,0.069,NA,0.615,0.428,0.639,0.926,NA,0.801,0.609,1.0,1.0,NA,1.0,NA	0.464,0.909,1.0,0.609,0.806,0.869,0.915,NA,0.065,0.554,0.698,NA,0.918,NA,NA,NA,0.0,NA,0.0,NA	1	MXE
3198	ENSG00000085382.11_2	HACE1	chr6	-	1.0,NA,0.452,0.11,1.0,NA,NA,0.0,0.403,0.032,1.0,0.0,1.0,1.0,0.475,0.452,0.0,1.0,0.466,1.0,NA,0.736,1.0,1.0	0.944,1.0,0.851,0.01,1.0,1.0,1.0,1.0,1.0,0.443,0.988,NA,1.0,NA,NA,NA,NA,1.0,1.0,NA	1	MXE
3199	ENSG00000085382.11_2	HACE1	chr6	-	1.0,NA,0.0,NA,1.0,1.0,NA,0.256,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.108,NA,1.0,0.0,1.0,1.0	0.876,1.0,0.706,0.012,NA,1.0,1.0,NA,1.0,0.0,0.256,NA,1.0,NA,NA,NA,1.0,NA,NA,NA	1	MXE
3200	ENSG00000085382.11_2	HACE1	chr6	-	1.0,NA,0.0,1.0,1.0,1.0,NA,0.604,0.0,0.18,1.0,0.633,1.0,NA,0.128,0.0,0.0,1.0,0.097,NA,1.0,0.079,1.0,1.0	0.768,1.0,0.836,0.021,NA,NA,NA,NA,1.0,0.314,0.984,NA,1.0,1.0,NA,1.0,1.0,NA,1.0,NA	1	MXE
3201	ENSG00000085382.11_2	HACE1	chr6	-	1.0,NA,NA,NA,1.0,1.0,NA,1.0,NA,0.0,0.905,0.0,1.0,1.0,NA,NA,NA,0.935,1.0,NA,1.0,0.0,0.686,1.0	1.0,1.0,1.0,1.0,NA,1.0,1.0,0.0,1.0,0.0,1.0,NA,0.289,NA,NA,NA,1.0,0.0,NA,NA	1	MXE
3202	ENSG00000085382.11_2	HACE1	chr6	-	1.0,NA,NA,1.0,1.0,1.0,NA,0.225,NA,0.869,0.676,1.0,1.0,NA,1.0,NA,NA,0.948,1.0,NA,1.0,0.03,0.269,1.0	1.0,1.0,1.0,1.0,NA,NA,NA,0.0,1.0,0.731,1.0,NA,0.284,1.0,NA,1.0,1.0,0.0,1.0,NA	1	MXE
3203	ENSG00000085382.11_2	HACE1	chr6	-	1.0,NA,NA,1.0,0.072,0.498,NA,0.008,0.0,0.0,1.0,0.0,1.0,1.0,0.0,NA,NA,0.509,0.094,NA,1.0,NA,0.6,0.986	0.285,1.0,1.0,0.019,NA,1.0,1.0,NA,0.294,0.0,0.0,NA,0.49,0.0,NA,0.0,0.832,NA,NA,NA	1	MXE
3204	ENSG00000085382.11_2	HACE1	chr6	-	1.0,NA,NA,1.0,0.217,0.494,NA,0.032,0.0,0.307,1.0,1.0,1.0,NA,0.181,NA,NA,0.568,0.084,NA,1.0,1.0,0.217,0.99	0.157,1.0,1.0,0.033,NA,NA,NA,NA,0.48,0.603,0.627,NA,0.312,0.656,NA,0.713,0.822,NA,1.0,NA	1	MXE
